candlestick | Advance Block | bearish | confidence=0.66 | bars=991-993 | end=2026-05-26
candlestick | Bearish Belt Hold | bearish | confidence=0.66 | bars=996-996 | end=2026-06-03
candlestick | Bearish Breakaway | bearish | confidence=0.66 | bars=989-990 | end=2026-05-21
candlestick | Bearish Counterattack | bearish | confidence=0.66 | bars=992-993 | end=2026-05-26
candlestick | Bearish Doji Star | bearish | confidence=0.66 | bars=978-978 | end=2026-05-04
candlestick | Bearish Engulfing | bearish | confidence=0.66 | bars=995-996 | end=2026-06-03
candlestick | Bearish Harami Cross | bearish | confidence=0.66 | bars=786-787 | end=2025-08-01
candlestick | Bearish Harami | bearish | confidence=0.66 | bars=978-979 | end=2026-05-05
candlestick | Bearish Kicking | bearish | confidence=0.66 | bars=768-769 | end=2025-07-07
candlestick | Bearish Marubozu | bearish | confidence=0.66 | bars=996-996 | end=2026-06-03
candlestick | Bearish Meeting Lines | bearish | confidence=0.66 | bars=992-993 | end=2026-05-26
candlestick | Bearish Pin Bar | bearish | confidence=0.66 | bars=975-975 | end=2026-04-28
candlestick | Bearish Separating Lines | bearish | confidence=0.66 | bars=937-938 | end=2026-03-04
candlestick | Bearish Tri-Star | bearish | confidence=0.66 | bars=237-239 | end=2023-05-23
candlestick | Belt Hold | neutral | confidence=0.66 | bars=996-996 | end=2026-06-03
candlestick | Breakaway Pattern | neutral | confidence=0.66 | bars=989-990 | end=2026-05-21
candlestick | Breakaway | neutral | confidence=0.66 | bars=989-990 | end=2026-05-21
candlestick | Bullish Belt Hold | bullish | confidence=0.66 | bars=995-995 | end=2026-06-02
candlestick | Bullish Breakaway | bullish | confidence=0.66 | bars=976-977 | end=2026-04-30
candlestick | Bullish Counterattack | bullish | confidence=0.66 | bars=992-993 | end=2026-05-26
candlestick | Bullish Doji Star | bullish | confidence=0.66 | bars=978-978 | end=2026-05-04
candlestick | Bullish Engulfing | bullish | confidence=0.84 | bars=998-999 | end=2026-06-08
candlestick | Bullish Harami Cross | bullish | confidence=0.66 | bars=869-870 | end=2025-11-27
candlestick | Bullish Harami | bullish | confidence=0.66 | bars=997-998 | end=2026-06-05
candlestick | Bullish Kicking | bullish | confidence=0.66 | bars=800-801 | end=2025-08-21
candlestick | Bullish Marubozu | bullish | confidence=0.66 | bars=995-995 | end=2026-06-02
candlestick | Bullish Meeting Lines | bullish | confidence=0.66 | bars=992-993 | end=2026-05-26
candlestick | Bullish Pin Bar | bullish | confidence=0.66 | bars=950-950 | end=2026-03-23
candlestick | Bullish Separating Lines | bullish | confidence=0.66 | bars=941-942 | end=2026-03-10
candlestick | Bullish Tri-Star | bullish | confidence=0.66 | bars=237-239 | end=2023-05-23
candlestick | Closing Marubozu | neutral | confidence=0.66 | bars=996-996 | end=2026-06-03
candlestick | Concealing Baby Swallow | bullish | confidence=0.66 | bars=869-872 | end=2025-12-01
candlestick | Counterattack Line | neutral | confidence=0.66 | bars=992-993 | end=2026-05-26
candlestick | Counterattack | neutral | confidence=0.66 | bars=992-993 | end=2026-05-26
candlestick | Dark Cloud Cover | bearish | confidence=0.66 | bars=995-996 | end=2026-06-03
candlestick | Deliberation Pattern | bearish | confidence=0.66 | bars=991-993 | end=2026-05-26
candlestick | Descending Hawk | bearish | confidence=0.66 | bars=702-703 | end=2025-03-26
candlestick | Doji Star | neutral | confidence=0.66 | bars=978-978 | end=2026-05-04
candlestick | Doji | neutral | confidence=0.66 | bars=978-978 | end=2026-05-04
candlestick | Downside Gap Side-by-Side White Lines | bearish | confidence=0.66 | bars=989-990 | end=2026-05-21
candlestick | Downside Gap Three Methods | bearish | confidence=0.66 | bars=989-990 | end=2026-05-21
candlestick | Downside Tasuki Gap | neutral | confidence=0.66 | bars=989-990 | end=2026-05-21
candlestick | Dragonfly Doji | bullish | confidence=0.66 | bars=555-555 | end=2024-08-27
candlestick | Evening Doji Star | neutral | confidence=0.66 | bars=978-978 | end=2026-05-04
candlestick | Evening Star | bearish | confidence=0.66 | bars=987-989 | end=2026-05-20
candlestick | Falling Mat Hold | bearish | confidence=0.66 | bars=962-966 | end=2026-04-14
candlestick | Falling Three Methods | bearish | confidence=0.66 | bars=962-966 | end=2026-04-14
candlestick | Four Price Doji | neutral | confidence=0.66 | bars=928-928 | end=2026-02-18
candlestick | Gap | neutral | confidence=0.66 | bars=989-990 | end=2026-05-21
candlestick | Gapping Doji | neutral | confidence=0.66 | bars=978-978 | end=2026-05-04
candlestick | Gravestone Doji | bearish | confidence=0.66 | bars=820-820 | end=2025-09-17
candlestick | Hammer | bullish | confidence=0.66 | bars=950-950 | end=2026-03-23
candlestick | Hanging Man | bearish | confidence=0.66 | bars=768-768 | end=2025-07-04
candlestick | Harami Cross | neutral | confidence=0.66 | bars=869-870 | end=2025-11-27
candlestick | Harami | neutral | confidence=0.66 | bars=997-998 | end=2026-06-05
candlestick | High Price Gapping Play | neutral | confidence=0.66 | bars=989-990 | end=2026-05-21
candlestick | High Wave Candle | neutral | confidence=0.66 | bars=997-997 | end=2026-06-04
candlestick | Homing Pigeon | bullish | confidence=0.66 | bars=970-971 | end=2026-04-21
candlestick | Identical Three Crows | bearish | confidence=0.66 | bars=996-998 | end=2026-06-05
candlestick | In-Neck Line | neutral | confidence=0.66 | bars=990-991 | end=2026-05-22
candlestick | Inside Bar | neutral | confidence=0.66 | bars=997-998 | end=2026-06-05
candlestick | Inverted Gapping Doji | neutral | confidence=0.66 | bars=978-978 | end=2026-05-04
candlestick | Inverted Hammer | bullish | confidence=0.66 | bars=975-975 | end=2026-04-28
candlestick | Kicking Pattern | neutral | confidence=0.66 | bars=800-801 | end=2025-08-21
candlestick | Kicking | neutral | confidence=0.66 | bars=800-801 | end=2025-08-21
candlestick | Ladder Bottom | bullish | confidence=0.66 | bars=963-967 | end=2026-04-15
candlestick | Long Body Candle | neutral | confidence=0.66 | bars=996-996 | end=2026-06-03
candlestick | Long Lower Shadow | bullish | confidence=0.66 | bars=992-992 | end=2026-05-25
candlestick | Long Upper Shadow | bearish | confidence=0.66 | bars=978-978 | end=2026-05-04
candlestick | Long-Legged Doji | neutral | confidence=0.66 | bars=978-978 | end=2026-05-04
candlestick | Low Price Gapping Play | neutral | confidence=0.66 | bars=989-990 | end=2026-05-21
candlestick | Marubozu | neutral | confidence=0.66 | bars=996-996 | end=2026-06-03
candlestick | Mat Hold | bullish | confidence=0.66 | bars=991-995 | end=2026-06-02
candlestick | Matching High | neutral | confidence=0.66 | bars=967-968 | end=2026-04-16
